state,fuel_type_code,station_count,ev_level1_points,ev_level2_points,ev_dc_fast_points
PA,ELEC,2156,49,4316,1851
AZ,ELEC,1606,15,3575,1431
WI,ELEC,899,20,1508,821
MO,ELEC,1404,14,2574,797
OK,E85,96,0,0,0
NC,E85,134,0,0,0
QC,CNG,16,0,0,0
ON,CNG,42,0,0,0
KY,BD,1,0,0,0
MD,BD,26,0,0,0
YT,ELEC,43,0,41,32
FL,BD,5,0,0,0
MS,LNG,1,0,0,0
KY,CNG,6,0,0,0
PE,LPG,2,0,0,0
WA,RD,13,0,0,0
WY,E85,10,0,0,0
CO,LPG,55,0,0,0
GA,E85,83,0,0,0
NY,ELEC,5609,57,18086,3173
OK,LNG,1,0,0,0
OR,LPG,39,0,0,0
SK,ELEC,224,0,259,201
NH,LPG,19,0,0,0
OK,ELEC,445,5,918,1025
DE,LPG,18,0,0,0
OR,E85,6,0,0,0
ID,LPG,26,0,0,0
ME,LPG,15,0,0,0
NE,BD,11,0,0,0
ID,RD,1,0,0,0
WI,BD,1,0,0,0
DE,E85,3,0,0,0
HI,E85,2,0,0,0
KS,LNG,1,0,0,0
KY,E85,110,0,0,0
OK,CNG,99,0,0,0
LA,LNG,2,0,0,0
VA,CNG,25,0,0,0
MO,BD,156,0,0,0
CO,CNG,28,0,0,0
AR,ELEC,402,7,893,267
MA,LPG,36,0,0,0
UT,CNG,38,0,0,0
BC,CNG,29,0,0,0
NS,LPG,7,0,0,0
AB,CNG,24,0,0,0
NV,BD,2,0,0,0
NH,BD,2,0,0,0
DC,E85,3,0,0,0
MO,LNG,3,0,0,0
AL,LNG,3,0,0,0
AZ,CNG,22,0,0,0
MT,LPG,28,0,0,0
AZ,LPG,75,0,0,0
MO,LPG,57,0,0,0
WV,LPG,17,0,0,0
FL,ELEC,4656,355,11023,4751
TX,E85,280,0,0,0
WI,CNG,44,0,0,0
GA,LPG,96,0,0,0
KS,ELEC,623,22,1191,363
MO,CNG,20,0,0,0
MD,LPG,40,0,0,0
IA,CNG,7,0,0,0
PA,E85,224,0,0,0
RI,LPG,7,0,0,0
ON,LPG,124,0,0,0
MT,ELEC,170,1,244,255
KS,E85,72,0,0,0
KY,RD,1,0,0,0
ID,CNG,11,0,0,0
NV,LPG,25,0,0,0
VA,BD,12,0,0,0
MS,CNG,5,0,0,0
KY,LPG,20,0,0,0
DE,CNG,3,0,0,0
CT,E85,4,0,0,0
AK,LPG,7,0,0,0
RI,CNG,1,0,0,0
NS,CNG,1,0,0,0
MA,BD,1,0,0,0
NJ,LNG,1,0,0,0
PA,LNG,1,0,0,0
CO,E85,118,0,0,0
AL,ELEC,673,21,1285,891
MS,ELEC,254,68,462,332
IL,BD,495,0,0,0
CA,RD,1172,0,0,0
IL,CNG,29,0,0,0
AL,BD,10,0,0,0
DC,LPG,6,0,0,0
TN,CNG,25,0,0,0
VT,BD,1,0,0,0
ID,BD,1,0,0,0
OH,LPG,91,0,0,0
LA,LPG,50,0,0,0
WA,LPG,75,0,0,0
IN,E85,261,0,0,0
OR,ELEC,1777,74,3308,1307
MD,E85,72,0,0,0
NY,E85,86,0,0,0
SC,ELEC,741,15,1395,898
NJ,CNG,33,0,0,0
GA,ELEC,2506,129,6220,2113
CT,ELEC,1695,75,4463,777
IA,ELEC,524,3,787,590
TN,LPG,55,0,0,0
ME,ELEC,696,21,1322,371
WA,E85,15,0,0,0
SD,E85,81,0,0,0
IN,LPG,49,0,0,0
LA,ELEC,339,46,601,392
MB,LPG,53,0,0,0
IA,LPG,38,0,0,0
SC,E85,64,0,0,0
SC,LPG,46,0,0,0
NV,CNG,4,0,0,0
CT,CNG,14,0,0,0
HI,LPG,3,0,0,0
OK,BD,15,0,0,0
NL,LPG,2,0,0,0
SC,LNG,2,0,0,0
ND,BD,1,0,0,0
NJ,RD,1,0,0,0
VA,HY,2,0,0,0
